title,description,startDate,photoUrl,amount,isPublic,isPublished,owner
"Debt, The",Fusce consequat. Nulla nisl. Nunc nisl.,9/25/2019,http://dummyimage.com/1500x800.bmp/dddddd/000000,58725,TRUE,TRUE,test1@slp.com
"Devil's Ground, The","Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc.",9/26/2019,http://dummyimage.com/1500x800.bmp/dddddd/000000,26589,TRUE,TRUE,test2@slp.com
Saint Ange (House of Voices),"Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",10/6/2019,http://dummyimage.com/1500x800.bmp/ff4444/ffffff,93657,TRUE,TRUE,test3@slp.com
Sharpe's Battle,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",9/26/2019,http://dummyimage.com/1500x800.bmp/cc0000/ffffff,80885,TRUE,TRUE,test4@slp.com
Hadersfild (Huddersfield),"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",9/17/2019,http://dummyimage.com/1500x800.bmp/cc0000/ffffff,83533,TRUE,TRUE,test5@slp.com
Four Adventures of Reinette and Mirabelle (4 aventures de Reinette et Mirabelle),"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",9/7/2019,http://dummyimage.com/1500x800.bmp/dddddd/000000,24182,TRUE,TRUE,test6@slp.com
Von Ryan's Express,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",9/15/2019,http://dummyimage.com/1500x800.bmp/ff4444/ffffff,14212,TRUE,TRUE,test7@slp.com
True Confession,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",10/9/2019,http://dummyimage.com/1500x800.bmp/dddddd/000000,75695,TRUE,TRUE,test8@slp.com
"Machine, The",Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,10/2/2019,http://dummyimage.com/1500x800.bmp/cc0000/ffffff,84414,TRUE,TRUE,test9@slp.com
Destiny (a.k.a. Between Two Worlds) (Der müde Tod),Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,10/1/2019,http://dummyimage.com/1500x800.bmp/5fa2dd/ffffff,25011,TRUE,TRUE,test10@slp.com
